,name,code
140,????,090360
141,???,900260
142,????,067730
143,????,035480
144,???,096640
145,??,149940
146,??SP,001810
147,??,059090
148,???,100120
149,??????,066980
150,????,082920
151,??,065450
152,???????,122350
153,????,023600
154,????,263810
155,??????,089980
156,??????,027040
157,????,014620
158,?????,080470
159,??????,214310
160,??,039310
161,???,066910
162,?????,043100
163,????,154040
164,????????,094840
165,??????,192440
166,????,001000
167,??????,065350
168,?????,138070
169,???3???,257730
170,?????,056700
171,????,208640
172,??,096530
173,??????,013990
174,????????,069920
175,????TV,067160
176,??,255440
177,????????,050320
178,??????,080440
179,?????,028300
180,?????,224110
181,????????,021080
182,??????,038110
183,???,092870
184,??????11?,256840
185,??????12?,273060
186,????,097520
187,????,259630
188,??????,090740
189,??????,143540
190,??24,053280
191,??????,232140
192,????,251370
193,?????,194610
194,??,032940
195,??,008370
196,??,069080
197,???????,203450
198,?????,086390
199,????,264450
200,??,054930
201,?????????2?,215090
202,????,084370
203,????,179900
204,?????,039020
205,??,033110
206,?????????,900110
207,????,067010
208,???,091120
209,???,041830
210,????,079950
211,???,049070
212,????,158310
213,???,017250
214,????????,071200
215,?????,950140
216,?????,049630
217,???,065620
218,????,147830
219,???,079370
220,??????,026040
221,?????,086060
222,?????,004650
223,??,016920
224,???,043290
225,????10???,250930
226,?????,115500
227,??????,105330
228,?????,256940
229,????,054410
230,???,104540
231,???????,241710
232,????,033290
233,??,015710
234,?????,066310
235,??????,058530
236,???,237880
237,??????,215480
238,????,052290
239,???,950160
240,????,064760
241,??????,104480
242,????,150900
243,?????,047310
244,?????,049120
245,??????,140860
246,????,032800
247,????,263750
248,?????,003670
249,?????????,214270
250,???,053610
251,?????,051380
252,???????,050540
253,????,099660
254,???????,042520
255,????,007770
256,??,066110
257,????,039010
258,??????,060560
259,??,134780
260,????,205470
261,???????,199150
262,???,197140
263,????,200350
264,????,200580
265,???,126340
266,????,246830
267,??????,245450
268,????,271400
269,????,203400
270,??????,064850
271,?????,278990
272,???????,251960
273,????,179720
274,????,173130
275,???,084440
276,????,229480
277,??????,219750
278,??,199800
279,???,150440
280,??,284420
281,AJ????,095570
282,AK???,006840
283,CJ,001040
284,DSR,155660
285,JW????,001060
286,KC???,119650
287,KR???,000040
288,LG?????,034220
289,LG??,001120
290,NAVER,035420
291,SBS,034120
292,SK??,018670
293,SPC??,005610
294,STX,011810
295,TCC??,002710
296,WISCOM,024070
297,??,002100
298,?????,037710
299,????,030610
300,????,092440
301,?????,000270
302,?????,013700
303,?????,000320
304,??,019680
305,????,009190
306,??,003090
307,????,024890
308,?????,002880
309,??,012800
310,????,015230
311,???13?????,083380
